Division_Code,Division_Title,SubDivision_Code,SubDivision_Title,Group_Code,Group_Title,Family_Code,Family_Title,NCO_2015_Code,Occupation_Title,QP_NOS_Reference
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,1111.0100,"Elected Official, Union Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,1111.0200,"Elected Official, State Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,1111.0300,"Elected Official, Local Bodies",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,1111.9900,"Legislators, Other",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0100,"Administrative Official, Union Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0200,Diplomat,00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0300,"Executive Officials, Union Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0400,"Administrative Official, State Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0500,"Executive Official, State Government",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0600,"Administrative and Executive Officials, Quasi Government (Central)",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0700,"Administrative & Executive Officials, Quasi Government (State)",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.0800,"Administrative and Executive Officials, Local Bodies",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,1112.9900,"Senior Government Officials, Other",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special Interest Organizations,1114.0100,Political Worker,00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special Interest Organizations,1114.0200,"Senior Officials of Employers, Workers and Other Economic Interest Organizations",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special Interest Organizations,1114.0300,"Director, Disaster Management Services",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special Interest Organizations,1114.9900,"Senior Officials of Special Interest Organizations, Other",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0100,"Working Proprietor, Electricity",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0200,"Working Proprietor, Gas",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0300,"Working Proprietor, Water Supply",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0400,"Director, Electricity",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0500,"Director, Gas",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0600,"Director, Water Supply",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0700,"Director, Bank",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0800,"Director, Insurance",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.0900,"Working Proprietor, Mines/Proprietor, Mines",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1000,"Working Proprietor, Quarry/Proprietor, Quarry",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1100,"Working Proprietor, Well Drilling/Proprietor, Well Drilling",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1200,"Working Proprietor, Construction/Proprietor, Construction",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1300,"Director, Construction",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1400,"Director, Mines",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1500,"Director, Quarry",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1600,"Director, Well Drilling",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1700,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1800,Director Manufacturing,00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.1900,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2000,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2100,"Director, Wholesale Trade",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2200,"Director, Retail Trade",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2300,"Working Proprietor, Transport",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2400,"Director, Transport",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2500,"Director, Communication",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2600,"Director, Airport",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2700,"Working Proprietor, Storage and Warehousing",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2800,"Director, Storage and Warehousing",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.2900,"Working Proprietor, Lodging and Catering Services",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3000,"Director, Lodging and Catering Services/Director Food and Beverage Service",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3100,Executive Chef,00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3200,"Working Proprietor, Recreation and Entertainment",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3300,"Director, Recreation and Entertainment",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3400,"Station Director, Radio/TV",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3401,Account Director ( Advertising Agency),01
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3402,Sales Director (Media Org),02
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3500,"Working Proprietor, Other Services",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3600,"Director, Other Services",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3700,"Director, Museum/Zoo",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3800,Chief Librarian,00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.3900,"Principal, College",00
1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,1120.9900,"Managing Directors and Chief Executives, Others",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers,1211.0100,"General Manager, Bank",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers,1211.0200,"General Manager, Insurance",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers,1211.0300,"Purser, Ship",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers,1211.9900,"Finance Managers, Others",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1212,Human Resource Managers,1212.0100,Personnel Manager,00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1212,Human Resource Managers,1212.9900,"Personnel and Industrial Relations Managers,",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0100,"Manager, Automotive Service",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0101,Quality Assurance Standards In-Charge,01
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0102,Manager – Customer Quality,02
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0200,"Manager, Automotive Service Station",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0201,Area Service Manager,01
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.0202,Territory Service Manager,02
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,1213.9900,"Managers, Other Services",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1219,Business Services and Administration Managers Not Elsewhere Classified,1219.0100,"Manager, Import and Export",00
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1219,Business Services and Administration Managers Not Elsewhere Classified,1219.0101,Export Manager,01
1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1219,Business Services and Administration Managers Not Elsewhere Classified,1219.0200,"Manager, Health Club/Manager, Fitness Club/Centre/Gym",00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0100,Sales Manager (Wholesale Trade),00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0200,Sales Manager (Retail Trade),00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0301,Home Delivery Manager,01
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0401,Territory Sales Manager (Broadband),01
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0501,Territory Sales Manager (Prepaid),01
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0601,Sales Co-Ordinator (Media Org),01
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.0602,Sales Manager (Media Org),02
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,1221.9900,"Sales and Marketing Managers, Other",00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relation Managers,1222.0100,"Manager, Advertising and Promotion",00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relation Managers,1222.0102,Advertising Operations Co-Ordinator (Digital),02
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relation Managers,1222.0200,"Manager, Fashion/Fashion Manager",00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relation Managers,1222.9900,"Advertising and Public Relations Department Managers, Others",00
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1223,Research and Development Managers,1223.0101,Manager Testing Facility,01
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1223,Research and Development Managers,1223.0102,Manager Material Testing,02
1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1223,Research and Development Managers,1223.0201,Research Associate,01
