Item No,Concept Name,Details (Summary)
1,Contact,
1.1,Contact Organisation,"Directorate of Economics & Statistics and O/o Chief Registrar (Births & Deaths), Govt. of NCT of Delhi, 'B'-Wing, 3rd Floor, Vikas Bhawan-II, Civil Lines, Delhi-110054"
1.2,Compiling agency,"Directorate of Economics & Statistics and O/o Chief Registrar (Births & Deaths), Govt. of NCT of Delhi, 'B'-Wing, 3rd Floor, Vikas Bhawan-II, Civil Lines, Delhi-110054"
1.3,Custodian agency ,"Local Bodies of Delhi viz. MCD, NDMC & DCB"
1.4,Contact Details,"Mr. Premananda Prusty,  Director & Chief Registrar (B&D),                             Mobile No.: 8745011359, Email id: jddes.delhi@delhi.gov.in "
2,Data description and Presentation,
2.1,Data description,
2.2,System of Classification,
2.3,International/National Standards classification etc,
2.4,Sector coverage,Vital Statistics
2.5,Concepts and definitions,"                                            
1. Infant Mortality Rate:  Infant mortality rate serves as one of the best indices to the general “healthiness” of a society.  It is similar to age-specific death rate for infants under 1 year of age.
                                                             
The annual infant mortality rate is defined as :
                       
Infant Mortality Rate =  No. of deaths under 1 year of age which occurred among the population/ No. of live births which occurred among the population  x 1000
         
2. Neo Natal Mortality Rate:  The neo-natal mortality rate, like the infant mortality rate, is similar to an age specific rate.  It is a rate used to measure the risk of death during the first month of life and is defined as:

 Neo-Natal Mortality Rate =   No. of deaths of infants under the age of 1 month which occurred among the population/ No. of live births which occurred among the population x 1000
          
3. Post Natal Mortality Rate:  The post natal mortality rate, like the infant mortality rate, is similar to an age specific rate. It is a rate used to measure the risk of death during 28 days to 12 months of life and is defined as:

Post-Natal Mortality Rate = No. of deaths of infants during the age of 28 days to 12 months which occurred among the population/ No. of live births which occurred among the population x 1000
        
"
2.6,Unit of compilation,Individual infant death record
2.7,Population coverage,Entire population of Delhi
2.8,Reference Period,"Calendar Year (January to December), 2024"
2.9,Duration and Period of enumeration,Year; 01.01.2024 to 31.12.2024
2.1,Sample size / Dataset size,"Not applicable. Death data in Delhi is based on the Civil Registration System (CRS), which is not a sample survey. Dataset size is the total number of registered infant deaths during the reference period (a calendar year)"
2.11,Data Confidentiality,Individual -level data are kept confidential and only aggregated data are released
3,Institutional Mandate,
3.1,Legal acts and other agreements,"Registration of Births and Deaths Act, 1969 (as amended upto 2023); Delhi Registration of Births and Deaths Rules, 1999 (Amended upto 2024)"
3.2,Data sharing/Data Dissemination,Sharing: With ORGI for National Level Compilation; Dissemination: Publishing on website of DES
3.3,Release calendar,Month of July of each year
3.4,Frequency of dissemination,Annual
3.5,Data access,Access to data through offiical website of Directorate of Economics & Statistics. Govt. of NCT of Delhi
4,Quality Management,
4.1,Documentation on methodology,Methodology: As per ORGI Guidelines and prescription.
4.2,Quality documentation,"To ensure quality, monitoring is ensured at each step of data processing including  scrutiny, various stages of validation, checking for consistency of the tables, etc."
4.3,Quality assurance,"Quality assurance is ensured through validation at registration level, cross verification with health institutions and supervisory checks by the O/o Chief Registrar (B&D), Govt. of NCT of Delhi"
5,Accuracy and Reliability,
5.1,Sampling error,Not applicable (as the data is based on complete enumeration and not sampling)
5.2,Measures of reliability,Not applicable (as the data is based on complete enumeration and not sampling)
6,Timeliness,
6.1,Timeliness,"Published within stipulated  time limit as mandated in RBD Act, 1969"
7,Coherence/Comparability,
7.1,Comparability – over time,Inter-Temporal Comparison possible
7.2,Coherence,
8,Data Processing,
8.1,Source data type,Administrative Data (Infant & Maternal Death registration records under Civil Registration System )
8.2,Frequency of data collection,Continuous (ongoing registration of infant and maternal deaths throughout the year)
8.3,Mode and method of data collection method,Online registration (individual and institutional)
8.4,Data validation,"Validation at registration level, cross verification with health institutions and supervisory checks by the O/o Chief Registrar (B&D), Govt. of NCT of Delhi"
8.5,Data compilation,Compilation involves consolidation and tabulation of infant and maternal death records registered by local bodies of GNCTD under CRS.
8.6,Data identifier(s),Unique Death Registration Number is assigned to each infant and maternal death event registered under CRS 
9,Metadata Update,
9.1,Metadata last posted,"December, 2025"
9.2,Metadata last update,"December, 2025"
